Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Tisso Ajans,"Kadıköy, Aktürk Sk. no:42, 41000 İzmit/Kocaeli",0534 791 51 06,,N/A,https://www.google.com/maps/place/RK+MEDYA/data=!4m7!3m6!1s0x14cb51abc2898e1d:0x20340ef2afaa8b7f!8m2!3d40.7535609!4d30.0199868!16s%2Fg%2F11h3bgwkmb!19sChIJHY6JwqtRyxQRf4uqr_IONCA?authuser=0&hl=tr&rclk=1
PullWeb - Kurumsalio Web Tasarım & Grafik Tasarım Hizmetleri,"Ic Kapi, Sanayi, Uzak Sk. NO :9, 41300 İzmit/Kocaeli",0850 309 5776,proje@pullweb.co,http://pullweb.co/,https://www.google.com/maps/place/Ad%C4%B1m+Web+Hizmetleri/data=!4m7!3m6!1s0x14cb4580054e4ddd:0x8e5fcd1877a8e849!8m2!3d40.7657493!4d29.9271269!16s%2Fg%2F1hjh3j8m_!19sChIJ3U1OBYBFyxQRSeiodxjNX44?authuser=0&hl=tr&rclk=1
"Doping Medya - Reklam, Web Tasarım, Domain, Hosting","Tepecik Mah. Hürriyet Cad. Belediye Çarşı İşhanı, Doğu Blok Kat:4 No:2, 41200 Kocaeli",(0262) 332 20 50,,N/A,https://www.google.com/maps/place/Tisso+Ajans/data=!4m7!3m6!1s0x69a05df2c76063c3:0x8180c52802f3a6b0!8m2!3d40.7661481!4d29.9469754!16s%2Fg%2F11ln51ncrg!19sChIJw2Ngx_JdoGkRsKbzAijFgIE?authuser=0&hl=tr&rclk=1
Merihsoft Bilişim Teknolojileri,"Kemalpaşa, İstanbul İzmit Yanyolu No:3, 41200 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/PullWeb+-+Kurumsalio+Web+Tasar%C4%B1m+%26+Grafik+Tasar%C4%B1m+Hizmetleri/data=!4m7!3m6!1s0x6a6da9cb17a2d71:0x8aa5325e66402972!8m2!3d40.7556291!4d29.9573181!16s%2Fg%2F11kq33j177!19sChIJcS16sZzapgYRcilAZl4ypYo?authuser=0&hl=tr&rclk=1
İzmit Yazar Kasa - Hugin Yazar Kasa Yetkili Servis ve Bayi,"Kemalpaşa, İnönü Cd. No:82, 41200 İzmit/Kocaeli",0536 942 77 02,,http://www.izmityazarkasa.com/,"https://www.google.com/maps/place/Doping+Medya+-+Reklam,+Web+Tasar%C4%B1m,+Domain,+Hosting/data=!4m7!3m6!1s0x14cb45816e6fb139:0x85ec9f4bb1b7bc4c!8m2!3d40.763381!4d29.924054!16s%2Fg%2F1tkrzsrl!19sChIJObFvboFFyxQRTLy3sUuf7IU?authuser=0&hl=tr&rclk=1"
Entropha Bilgi Teknolojileri,"Körfez Mahallesi Berk Sokak Barış İş Merkezi, No:10 Daire:52, 41040 İzmit/Kocaeli",(0262) 325 91 88,,https://entropha.com/,https://www.google.com/maps/place/Merihsoft+Bili%C5%9Fim+Teknolojileri/data=!4m7!3m6!1s0x14cb45a769737145:0xc51f7e14ace1ce8b!8m2!3d40.76182!4d29.9226436!16s%2Fg%2F11h22qhby4!19sChIJRXFzaadFyxQRi87hrBR-H8U?authuser=0&hl=tr&rclk=1
Guava Ajans Web grafik tasarım kurumsal kimlik internet sitesi sayfası yapımı Kocaeli İzmit,"Vezirçiftliği, Ulucami Sk. No:3/b, 41140 Başiskele/Kocaeli",0538 950 41 84,,N/A,https://www.google.com/maps/place/%C4%B0zmit+Yazar+Kasa+-+Hugin+Yazar+Kasa+Yetkili+Servis+ve+Bayi/data=!4m7!3m6!1s0x14cb4fe45d5ce68b:0x88fb46c32b7b5038!8m2!3d40.7642595!4d29.9219686!16s%2Fg%2F11dynt0ptf!19sChIJi-ZcXeRPyxQROFB7K8NG-4g?authuser=0&hl=tr&rclk=1
Dijiti Reklam Ajansı & Yazılım,"Sanayi, Kozalı Cd. Çarşı Yapı Sitesi B Blok Apt. No:10 A/25, 41040 İzmit/Kocaeli",0531 307 67 05,,https://dijiti.com.tr/,https://www.google.com/maps/place/Entropha+Bilgi+Teknolojileri/data=!4m7!3m6!1s0x14cb4fd6c6b56011:0x4c0189a7a5a954c5!8m2!3d40.7645542!4d29.9391897!16s%2Fg%2F11fj9cy3s1!19sChIJEWC1xtZPyxQRxVSppaeJAUw?authuser=0&hl=tr&rclk=1
Dijiti Reklam Ajansı & Yazılım,"Sanayi, Kozalı Cd. Çarşı Yapı Sitesi B Blok Apt. No:10 A/25, 41040 İzmit/Kocaeli",0531 307 67 05,,https://dijiti.com.tr/,https://www.google.com/maps/place/Guava+Ajans+Web+grafik+tasar%C4%B1m+kurumsal+kimlik+internet+sitesi+sayfas%C4%B1+yap%C4%B1m%C4%B1+Kocaeli+%C4%B0zmit/data=!4m7!3m6!1s0x14cb45355a5cd56d:0x3d87c0ab8d11b487!8m2!3d40.7422383!4d29.9602465!16s%2Fg%2F11q9m8mslr!19sChIJbdVcWjVFyxQRh7QRjavAhz0?authuser=0&hl=tr&rclk=1
Dijiti Reklam Ajansı & Yazılım,"Sanayi, Kozalı Cd. Çarşı Yapı Sitesi B Blok Apt. No:10 A/25, 41040 İzmit/Kocaeli",0531 307 67 05,,https://dijiti.com.tr/,https://www.google.com/maps/place/Dijiti+Reklam+Ajans%C4%B1+%26+Yaz%C4%B1l%C4%B1m/data=!4m7!3m6!1s0x14cb45fa58cc99a3:0x8502bf6891c48b29!8m2!3d40.7529802!4d29.9548937!16s%2Fg%2F11xclj4t20!19sChIJo5nMWPpFyxQRKYvEkWi_AoU?authuser=0&hl=tr&rclk=1
"405 Found Technology | Kocaeli Web Tasarım, SEO, Dijital Pazarlama, IT Hizmeti","Sanayi, Kozalı Cd. Çarşı Yapı Sitesi F Blok No:12, 41000 İzmit/Kocaeli",0539 817 57 23,"mertuluser@405found.com, keremzeytun@405found.com, info@405found.com",https://405found.com/,https://www.google.com/maps/place/Erdi+Yaz%C4%B1l%C4%B1m+Reklam+Bas%C4%B1n+Yay%C4%B1n+Ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/data=!4m7!3m6!1s0x14cb4ff16016bc4b:0xf100f1a2744ef380!8m2!3d40.7635704!4d29.956637!16s%2Fg%2F11q2ykdwmy!19sChIJS7wWYPFPyxQRgPNOdKLxAPE?authuser=0&hl=tr&rclk=1
"405 Found Technology | Kocaeli Web Tasarım, SEO, Dijital Pazarlama, IT Hizmeti","Tepecik, İnönü Cd. No:114, 41200 İzmit/Kocaeli",(0262) 331 00 10,,N/A,https://www.google.com/maps/place/Lilidea+Yaz%C4%B1l%C4%B1m+Ve+Teknoloji/data=!4m7!3m6!1s0x14cb51c28c473d47:0x40db3bb8848ecbcd!8m2!3d40.7672676!4d29.9763366!16s%2Fg%2F11x6l97l48!19sChIJRz1HjMJRyxQRzcuOhLg720A?authuser=0&hl=tr&rclk=1
Gürkaya Bilgisayar - Kocaeli İzmit,"Yenişehir, Atacan Sk. No:25/B, 41050 İzmit/Kocaeli",(0262) 322 52 54,,N/A,"https://www.google.com/maps/place/405+Found+Technology+%7C+Kocaeli+Web+Tasar%C4%B1m,+SEO,+Dijital+Pazarlama,+IT+Hizmeti/data=!4m7!3m6!1s0x14cb4f65e8495059:0xc9d2d87584c92e89!8m2!3d40.7535949!4d29.9554895!16s%2Fg%2F11vt0s_0dk!19sChIJWVBJ6GVPyxQRiS7JhHXY0sk?authuser=0&hl=tr&rclk=1"
Özdemir Bilgisayar,"Ömerağa, Belsa Sk. No:27, 41300 İzmit/Kocaeli",0531 645 76 65,,N/A,https://www.google.com/maps/place/Mimasis+Bilgisayar/data=!4m7!3m6!1s0x14cb4580018cdff5:0x5f7f54449ffac01e!8m2!3d40.7653903!4d29.9244239!16s%2Fg%2F1td1y8sx!19sChIJ9d-MAYBFyxQRHsD6n0RUf18?authuser=0&hl=tr&rclk=1
M 2 M BİLİŞİM TEKNOLOJİLERİ,"28 HAZIRAN MAH.TURAN GUNES CAD 301 / b turkcell 28 HAZIRAN MAH.TURAN GUNES CAD, turkcell 301 / b, 41400 Kocaeli",0532 691 85 27,,https://www.instagram.com/bizdenistegelsin/,https://www.google.com/maps/place/G%C3%BCrkaya+Bilgisayar+-+Kocaeli+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4fe53413731b:0xf17ad795616e95d5!8m2!3d40.7651486!4d29.9642498!16s%2Fg%2F11flz453ls!19sChIJG3MTNOVPyxQR1ZVuYZXXevE?authuser=0&hl=tr&rclk=1
Alten Bilişim ve Ticaret,"Kemalpaşa, Gümrükçüler Cd., 41200 İzmit/Kocaeli",0546 805 97 00,,N/A,https://www.google.com/maps/place/%C3%96zdemir+Bilgisayar/data=!4m7!3m6!1s0x14cb457f8f9e9cd3:0x2147142a3c3465f1!8m2!3d40.7653679!4d29.9287669!16s%2Fg%2F1hcb3v2b4!19sChIJ05yej39FyxQR8WU0PCoURyE?authuser=0&hl=tr&rclk=1
İbrahim Öcal | Mar Ajans Ltd Şti - İzmit Kocaeli Web Tasarım - Reklam Baskı Matbaa Hizmetleri,"İstiklal Caddesi hafız Şerif Sokak Dayı Günaydın İşhanı No: Kat:2 D:3, 41100 İzmit/Kocaeli",0554 486 35 16,ibrahim@ibrahimocal.com.tr,http://www.ibrahimocal.com.tr/,https://www.google.com/maps/place/M+2+M+B%C4%B0L%C4%B0%C5%9E%C4%B0M+TEKNOLOJ%C4%B0LER%C4%B0/data=!4m7!3m6!1s0x14cb4fc2f47524f3:0x51f628b6805d2842!8m2!3d40.7727293!4d29.9526499!16s%2Fg%2F11g1gmw25s!19sChIJ8yR19MJPyxQRQihdgLYo9lE?authuser=0&hl=tr&rclk=1
Gürsel Bilgisayar & Güvenlik Sistemleri İth. İhr. San Tic. Ltd. Şti,"Alemdar Cd. No:34 İç Kapı No:51, Ömerağa, 41300 İzmit/Kocaeli",(0262) 324 80 24,"info@gurselbilgisayar.com, logo_band_colored@1X.png",http://www.gurselbilgisayar.com/,https://www.google.com/maps/place/Alten+Bili%C5%9Fim+ve+Ticaret/data=!4m7!3m6!1s0x14cb45838c8e049f:0x50c9706280f13c99!8m2!3d40.7617488!4d29.9224381!16s%2Fg%2F11f00hcdl2!19sChIJnwSOjINFyxQRmTzxgGJwyVA?authuser=0&hl=tr&rclk=1
Gürsel Bilgisayar & Güvenlik Sistemleri İth. İhr. San Tic. Ltd. Şti,"Alemdar Cd. No:34 İç Kapı No:51, Ömerağa, 41300 İzmit/Kocaeli",(0262) 324 80 24,"info@gurselbilgisayar.com, logo_band_colored@1X.png",http://www.gurselbilgisayar.com/,https://www.google.com/maps/place/%C4%B0brahim+%C3%96cal+%7C+Mar+Ajans+Ltd+%C5%9Eti+-+%C4%B0zmit+Kocaeli+Web+Tasar%C4%B1m+-+Reklam+Bask%C4%B1+Matbaa+Hizmetleri/data=!4m7!3m6!1s0x14cb458022d663af:0xc5667aa5cc755ad3!8m2!3d40.765023!4d29.927098!16s%2Fg%2F11b807pnny!19sChIJr2PWIoBFyxQR01p1zKV6ZsU?authuser=0&hl=tr&rclk=1
Gökay Elektronik | Kocaeli Laptop Servisi,"Ömerağa Mahallesi Belsa İş Merkezi Kat: 1 NO : 159, 41300 İzmit/Kocaeli",0537 993 39 93,info@gokayelektronik.com,http://www.gokayelektronik.com/,https://www.google.com/maps/place/G%C3%BCrsel+Bilgisayar+%26+G%C3%BCvenlik+Sistemleri+%C4%B0th.+%C4%B0hr.+San+Tic.+Ltd.+%C5%9Eti/data=!4m7!3m6!1s0x14cb457f8d2d7289:0x3fea53c8ed4b5379!8m2!3d40.7647702!4d29.9283809!16s%2Fg%2F11dztsg_0b!19sChIJiXItjX9FyxQReVNL7chT6j8?authuser=0&hl=tr&rclk=1
Nicomedia Yazılım - Web Tasarım,"Yeni Gölcük Yolu. Sanayi Mevkii No:35/1, 41000 İzmit/Kocaeli",0555 590 27 64,hello@dream-theme.com,https://www.nicomediayazilim.com/,https://www.google.com/maps/place/FKO+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb453ab4788d73:0xfd0e6cd9746706c9!8m2!3d40.7712761!4d29.9578336!16s%2Fg%2F11h7d7x5df!19sChIJc414tDpFyxQRyQZndNlsDv0?authuser=0&hl=tr&rclk=1
Nicomedia Yazılım - Web Tasarım,"Yeni Gölcük Yolu. Sanayi Mevkii No:35/1, 41000 İzmit/Kocaeli",0555 590 27 64,hello@dream-theme.com,https://www.nicomediayazilim.com/,https://www.google.com/maps/place/G%C3%B6kay+Elektronik+%7C+Kocaeli+Laptop+Servisi/data=!4m7!3m6!1s0x14cb457f93aa83dd:0xb5011ade8a8decf2!8m2!3d40.765041!4d29.9291986!16s%2Fg%2F11gdm7k7ml!19sChIJ3YOqk39FyxQR8uyNit4aAbU?authuser=0&hl=tr&rclk=1
Asbiltek Bilgisayar,"Karabaş, Leyla Atakan Cd. No:33, 41040 İzmit/Kocaeli",,"teknik@asbiltek.com, info@asbiltek.com",http://www.asbiltek.com/,https://www.google.com/maps/place/Nicomedia+Yaz%C4%B1l%C4%B1m+-+Web+Tasar%C4%B1m/data=!4m7!3m6!1s0x14cb457f5d309b5d:0xf2a971eb9903e863!8m2!3d40.7599262!4d29.9411435!16s%2Fg%2F119th0nyl!19sChIJXZswXX9FyxQRY-gDmetxqfI?authuser=0&hl=tr&rclk=1
Projeçözüm AR-GE & Otomasyon,"Ömerağa Mah. Alemdar Cad., Şen İş Merkezi K:4 N:137, 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Qualsem/data=!4m7!3m6!1s0x14cb4513f6214785:0x6e9fea33c76b92b2!8m2!3d40.763682!4d29.9527269!16s%2Fg%2F11kqb_xp_m!19sChIJhUch9hNFyxQRspJrxzPqn24?authuser=0&hl=tr&rclk=1
İzmit Yazılım,"Körfez, Yüce Rıfat Sk. No:56, 41040 İzmit/Kocaeli",(0262) 255 55 61,,N/A,https://www.google.com/maps/place/Asbiltek+Bilgisayar/data=!4m7!3m6!1s0x14cb4f87487d705d:0xc493c15d4eb76349!8m2!3d40.7651244!4d29.9342014!16s%2Fg%2F11c4988d5f!19sChIJXXB9SIdPyxQRSWO3Tl3Bk8Q?authuser=0&hl=tr&rclk=1
İzmit Yazılım,"Körfez, Yüce Rıfat Sk. No:56, 41040 İzmit/Kocaeli",(0262) 255 55 61,,N/A,https://www.google.com/maps/place/Proje%C3%A7%C3%B6z%C3%BCm+AR-GE+%26+Otomasyon/data=!4m7!3m6!1s0x14cb457ffb0223dd:0x95153dbab11e060!8m2!3d40.7654737!4d29.9283917!16s%2Fg%2F11c6zkxkrc!19sChIJ3SMC-39FyxQRYOARq9tTUQk?authuser=0&hl=tr&rclk=1
BURÇAK BİLİŞİM TEKNOLOJİLERİ,"Ömerağa, Alemdar Cd. No:75 İş Merkezi No:46, 41300 İzmit/Kocaeli",(0262) 606 02 84,,N/A,https://www.google.com/maps/place/%C4%B0zmit+Yaz%C4%B1l%C4%B1m/data=!4m7!3m6!1s0x14cb4f8c352e8201:0x8c76f78f956fcd5f!8m2!3d40.7638169!4d29.951658!16s%2Fg%2F11fmc2vrs2!19sChIJAYIuNYxPyxQRX81vlY_3dow?authuser=0&hl=tr&rclk=1
Yerinde Bilgisayar Teknik Servis,"Cumhuriyet Çocuk Parkı Karşısı Ataer İş Merkezi Kat : 3 No : 35, İzmit/Kocaeli",0541 641 54 41,,N/A,https://www.google.com/maps/place/TBTNET+TELEKOM/data=!4m7!3m6!1s0x14cb4fe63f1ae283:0x7b461654eb8fb4fc!8m2!3d40.7713316!4d29.9657564!16s%2Fg%2F1q62kk6xb!19sChIJg-IaP-ZPyxQR_LSP61QWRns?authuser=0&hl=tr&rclk=1
Ajans İzmit,"Ömerağa, 41300 İzmit/Kocaeli",(0262) 331 97 38,"email@example.com, info@ajansizmit.com",http://ajansizmit.com/,https://www.google.com/maps/place/BUR%C3%87AK+B%C4%B0L%C4%B0%C5%9E%C4%B0M+TEKNOLOJ%C4%B0LER%C4%B0/data=!4m7!3m6!1s0x14cb457ffafa7b73:0xf68baffdc3d6996e!8m2!3d40.7654769!4d29.9283741!16s%2Fg%2F11c1p5vb42!19sChIJc3v6-n9FyxQRbpnWw_2vi_Y?authuser=0&hl=tr&rclk=1
APEX BİLİŞİM,"Karabaş, Süleymanpaşa Sk No:22, 41040 İzmit/Kocaeli",(0262) 325 27 39,,N/A,https://www.google.com/maps/place/Yerinde+Bilgisayar+Teknik+Servis/data=!4m7!3m6!1s0x14cb4f88ed2ad047:0x1a9645883160145a!8m2!3d40.7654408!4d29.9408089!16s%2Fg%2F11t80_t9l4!19sChIJR9Aq7YhPyxQRWhRgMYhFlho?authuser=0&hl=tr&rclk=1
APEX BİLİŞİM,"Karabaş, Süleymanpaşa Sk No:22, 41040 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Ajans+%C4%B0zmit/data=!4m7!3m6!1s0x14cb45802e8277e3:0xcae5c8a4af729a52!8m2!3d40.7642085!4d29.9272408!16s%2Fg%2F11fzf6tx55!19sChIJ43eCLoBFyxQRUppyr6TI5co?authuser=0&hl=tr&rclk=1
Dijise,"Doğan, İsmail Özen Cd. No:86, 41100 İzmit/Kocaeli",0555 754 83 53,,http://www.dijise.com.tr/,https://www.google.com/maps/place/APEX+B%C4%B0L%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cb457d91ca255f:0xca07e4c9b07e236e!8m2!3d40.7632667!4d29.9355457!16s%2Fg%2F11d_dt97bs!19sChIJXyXKkX1FyxQRbiN-sMnkB8o?authuser=0&hl=tr&rclk=1
Dijise,"Doğan, İsmail Özen Cd. No:86, 41100 İzmit/Kocaeli",0555 754 83 53,,http://www.dijise.com.tr/,https://www.google.com/maps/place/%C4%B0ZM%C4%B0T+Bilgisayar+Al%C4%B1m/data=!4m7!3m6!1s0x14cb4f1e0625a577:0x382ae3dabd6277ce!8m2!3d40.7665565!4d29.9348182!16s%2Fg%2F11s9dm1z4m!19sChIJd6UlBh5PyxQRzndivdrjKjg?authuser=0&hl=tr&rclk=1
Machsis Bilişim,"Kadıköy, Çimen Sk. No:36/A, 41050 İzmit/Kocaeli",0553 793 41 43,,N/A,https://www.google.com/maps/place/Dijise/data=!4m7!3m6!1s0x14cb4fd98c7478c1:0xd2ca41ed25d689b4!8m2!3d40.770746!4d29.8745323!16s%2Fg%2F11l2d86902!19sChIJwXh0jNlPyxQRtInWJe1BytI?authuser=0&hl=tr&rclk=1
MonoPenta C.B,"Nazer Inn İş Merkezi, Yahyakaptan, Şht. Ali İhsan Çakmak Sk. Kat:2 No:18, 41050 İzmit/Kocaeli",0850 562 7682,merhaba@monopenta.com,https://www.monopenta.com/,https://www.google.com/maps/place/AKYAS%C4%B0S/data=!4m7!3m6!1s0x14cb4f8e1396ca3b:0xa7e2063557462cc5!8m2!3d40.764389!4d29.9219307!16s%2Fg%2F11bzt1wyqh!19sChIJO8qWE45PyxQRxSxGVzUG4qc?authuser=0&hl=tr&rclk=1
MonoPenta C.B,"Nazer Inn İş Merkezi, Yahyakaptan, Şht. Ali İhsan Çakmak Sk. Kat:2 No:18, 41050 İzmit/Kocaeli",0850 562 7682,merhaba@monopenta.com,https://www.monopenta.com/,https://www.google.com/maps/place/Machsis+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb4f0de5041895:0xd804a9898b62425c!8m2!3d40.7668746!4d29.9446033!16s%2Fg%2F11fklrtx0z!19sChIJlRgE5Q1PyxQRXEJii4mpBNg?authuser=0&hl=tr&rclk=1
MonoPenta C.B,"Nazer Inn İş Merkezi, Yahyakaptan, Şht. Ali İhsan Çakmak Sk. Kat:2 No:18, 41050 İzmit/Kocaeli",0850 562 7682,merhaba@monopenta.com,https://www.monopenta.com/,https://www.google.com/maps/place/MonoPenta+C.B/data=!4m7!3m6!1s0x14cb5196811f9545:0xa91bb90b5ba994a9!8m2!3d40.7709844!4d29.969105!16s%2Fg%2F11j5d64s9x!19sChIJRZUfgZZRyxQRqZSpWwu5G6k?authuser=0&hl=tr&rclk=1
Boyut Bilgisayar,"Ömerağa, İstiklal Cd. BELSA PLAZA D:5/6 BLOK NO 94, 41100 İzmit/Kocaeli",0501 080 41 41,,N/A,https://www.google.com/maps/place/Bilal+Beyaz+Reklam+Ajans%C4%B1/data=!4m7!3m6!1s0x14cb4f1f40702151:0xd5da130194ad9cca!8m2!3d40.763747!4d29.9643114!16s%2Fg%2F11yb2k_dpc!19sChIJUSFwQB9PyxQRypytlAET2tU?authuser=0&hl=tr&rclk=1
HIZLI SİSTEM,"Çarşı Yapı AVM, Sanayi, Kozalı Cd. G2 Blok, 41100 İzmit/Kocaeli",(0262) 239 76 33,,N/A,https://www.google.com/maps/place/Ulustech/data=!4m7!3m6!1s0x14cb4f2c8659f0ad:0x500882848c621d16!8m2!3d40.77688!4d29.945282!16s%2Fg%2F11vxbv728s!19sChIJrfBZhixPyxQRFh1ijISCCFA?authuser=0&hl=tr&rclk=1
Bank Solutions,"Kemalpaşa Mahallesi Hürriyet Caddesi Gakko Kervansaray İşhanı Kat:2 No:37, 41200 İzmit/Kocaeli",(0262) 332 20 25,,N/A,https://www.google.com/maps/place/Boyut+Bilgisayar/data=!4m7!3m6!1s0x14cb505286ecaf43:0xb67531412848eaa9!8m2!3d40.7649973!4d29.9289283!16s%2Fg%2F1hc2l401l!19sChIJQ6_shlJQyxQRqepIKEExdbY?authuser=0&hl=tr&rclk=1
Esna Bilişim,"Sanayi Kozalı Caddesi No:10 G D:Blok D2, 41040 İzmit/Kocaeli",,info@esnabilisim.com,http://esnabilisim.com/,https://www.google.com/maps/place/HIZLI+S%C4%B0STEM/data=!4m7!3m6!1s0x14cb4562f1979ed9:0x48efb7d913bc93e6!8m2!3d40.7544557!4d29.9540638!16s%2Fg%2F1tdhhw19!19sChIJ2Z6X8WJFyxQR5pO8E9m370g?authuser=0&hl=tr&rclk=1
Esna Bilişim,"Sanayi Kozalı Caddesi No:10 G D:Blok D2, 41040 İzmit/Kocaeli",,info@esnabilisim.com,http://esnabilisim.com/,https://www.google.com/maps/place/Bank+Solutions/data=!4m7!3m6!1s0x14cb4583fda24091:0x4dd5a3f3090a217f!8m2!3d40.762913!4d29.922525!16s%2Fg%2F11cjhz5n6k!19sChIJkUCi_YNFyxQRfyEKCfOj1U0?authuser=0&hl=tr&rclk=1
