Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
30.08.2012,"Ömerağa, İnönü Cd. no:192/A, 41000 İzmit/Kocaeli",(0262) 323 38 88,,N/A,https://www.google.com/maps/place/%C4%B0ZM%C4%B0T+CEP+TELEFONU+%C3%87EL%C4%B0K+%C4%B0LET%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cb4fdab2e7e69d:0x803aef7c53635f2f!8m2!3d40.7648478!4d29.9380203!16s%2Fg%2F11m__d5j5v!19sChIJnebnstpPyxQRL19jU3zvOoA?authuser=0&hl=tr&rclk=1
bluetech store,"Yeşilova, Turan Güneş Cd. 701 D, 41060 İzmit/Kocaeli",0532 212 37 62,,N/A,https://www.google.com/maps/place/BHB+GSM/data=!4m7!3m6!1s0x14cb45dd187ef3cf:0xedf8fc11181710f4!8m2!3d40.7646008!4d29.9263404!16s%2Fg%2F11g4cyntpm!19sChIJz_N-GN1FyxQR9BAXGBH8-O0?authuser=0&hl=tr&rclk=1
النخبة للإتصالات إزميت,"Kadıköy, Bağdat Cd. No:17, 41050, 41050 İzmit/Kocaeli",0531 236 49 61,,N/A,https://www.google.com/maps/place/30.08.2012/data=!4m7!3m6!1s0x14cb4f807171725b:0x9f8e3af0ae907b74!8m2!3d40.765791!4d29.929467!16s%2Fg%2F12cp2ss4m!19sChIJW3JxcYBPyxQRdHuQrvA6jp8?authuser=0&hl=tr&rclk=1
İZMİT TECH PREMIUM,"Ömerağa, Hafız Şerif Sk. 9a, 41300 İzmit/Kocaeli",0505 672 04 41,,N/A,https://www.google.com/maps/place/bluetech+store/data=!4m7!3m6!1s0x14cb4f2cd175b95b:0xfa637e0bf9bb2411!8m2!3d40.7880564!4d29.9722071!16s%2Fg%2F11r_mh7fz8!19sChIJW7l10SxPyxQRESS7-Qt-Y_o?authuser=0&hl=tr&rclk=1
Nur iletişim,"Kadıköy, Bağdat Cd. no89/b, 41050 İzmit/Kocaeli",0541 416 33 07,,N/A,https://www.google.com/maps/place/%D8%A7%D9%84%D9%86%D8%AE%D8%A8%D8%A9+%D9%84%D9%84%D8%A5%D8%AA%D8%B5%D8%A7%D9%84%D8%A7%D8%AA+%D8%A5%D8%B2%D9%85%D9%8A%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x14cb4f9a7328ff0f:0x69649a40433dec15!8m2!3d40.7685022!4d29.9412428!16s%2Fg%2F11h_cqbwx1!19sChIJD_8oc5pPyxQRFew9Q0CaZGk?authuser=0&hl=tr&rclk=1
Can İletişim,"Kadıköy, Bağdat Cd. No:66, 41050 Gebze/Kocaeli (Izmit)",(0262) 646 43 14,,N/A,https://www.google.com/maps/place/%C4%B0ZM%C4%B0T+TECH+PREMIUM/data=!4m7!3m6!1s0x14cb45b5a1be614d:0x1c049ac0a1003d64!8m2!3d40.7639846!4d29.9272919!16s%2Fg%2F11s1_0xctj!19sChIJTWG-obVFyxQRZD0AocCaBBw?authuser=0&hl=tr&rclk=1
KYA Teknoloji Turkcell İletişim Merkezi TİM 2,"Karabaş, Cengiz Topel Cd. No:50, 41040 İzmit/Kocaeli",0533 960 99 41,,https://www.instagram.com/turkcell_kyateknoloji/,https://www.google.com/maps/place/Nur+ileti%C5%9Fim/data=!4m7!3m6!1s0x14cb4fc1a50dc45d:0xf7d78f5ed91b0f7a!8m2!3d40.7683041!4d29.9454372!16s%2Fg%2F11kqfp5b1z!19sChIJXcQNpcFPyxQReg8b2V6P1_c?authuser=0&hl=tr&rclk=1
"Sarı İletişim Teknik Servis, Telefoncu, Turkcell, Telefon Hastanesi,Gölcük,Gölcük Telefon","TELEFONCU TEKNİK SERVİS TÜRKCELL İLETİŞİM MERKEZİ YANI GÜREL PASAJI, Merkez Mahallesi 19 Mayıs Caddesi No:38C Gürel Pasajı Gölcük/Kocaeli GÖLCÜK NO:38/C TÜRKCELL İLETİŞİM MERKEZİ YANI SARI İLETİŞİM, 41650 Gölcük/Kocaeli",0532 067 82 02,,N/A,https://www.google.com/maps/place/Can+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cade2ba438a903:0x178543d209443c38!8m2!3d40.7679002!4d29.9465466!16s%2Fg%2F1hc1vt7mh!19sChIJA6k4pCveyhQRODxECdJDhRc?authuser=0&hl=tr&rclk=1
Öncü İletişim - Telefon Teknik Servisi,"Karabaş Mahallesi İnönü Caddesi, Ihlamur Sk., 41000 İzmit/Kocaeli",0541 970 19 76,,N/A,https://www.google.com/maps/place/KYA+Teknoloji+Turkcell+%C4%B0leti%C5%9Fim+Merkezi+T%C4%B0M+2/data=!4m7!3m6!1s0x14cb4ff5111f296b:0xc540bf2681aa290d!8m2!3d40.7649152!4d29.9383718!16s%2Fg%2F11g3k7ybdh!19sChIJaykfEfVPyxQRDSmqgSa_QMU?authuser=0&hl=tr&rclk=1
X Teknik Servis,"Ömerağa, Abdurrahman Yüksel Cd. Belsa Plaza D:9/3 No:105 Kat: 1, 41300 İzmit/Kocaeli",0534 367 30 97,,http://www.instagram.com/xteknikservis,"https://www.google.com/maps/place/Sar%C4%B1+%C4%B0leti%C5%9Fim+Teknik+Servis,+Telefoncu,+Turkcell,+Telefon+Hastanesi,G%C3%B6lc%C3%BCk,G%C3%B6lc%C3%BCk+Telefon/data=!4m7!3m6!1s0x14cb41195173ae9f:0xdbe5817e91c9ed5e!8m2!3d40.7191237!4d29.8212864!16s%2Fg%2F11rv95zd8n!19sChIJn65zURlByxQRXu3JkX6B5ds?authuser=0&hl=tr&rclk=1"
Mollaoğlu İletişim,"Ömerağa, Abdurrahman Yüksel Cd. No:5, 41300 İzmit/Kocaeli",(0262) 323 22 01,,N/A,https://www.google.com/maps/place/%C3%96nc%C3%BC+%C4%B0leti%C5%9Fim+-+Telefon+Teknik+Servisi/data=!4m7!3m6!1s0x14cb4f863a437e41:0x7fd31872f00a2282!8m2!3d40.766063!4d29.9308187!16s%2Fg%2F11smvjy7_t!19sChIJQX5DOoZPyxQRgiIK8HIY038?authuser=0&hl=tr&rclk=1
Escom Bilişim Cep Telefonu Tablet Laptop Notebook Yazıcı Her Türlü Elektronik Alet Tamir servisi,"İstasyon, Hüsnü Efe Cd. No:36, 41250 Kartepe/Kocaeli",0533 315 58 60,,https://www.escombilisim.net/,https://www.google.com/maps/place/X+Teknik+Servis/data=!4m7!3m6!1s0x14cb4f631c0764bb:0x9d8704d773efca3a!8m2!3d40.7653177!4d29.9295092!16s%2Fg%2F11h8j_2bvw!19sChIJu2QHHGNPyxQROsrvc9cEh50?authuser=0&hl=tr&rclk=1
Hi-Phone Smart Service,"Karabaş, Leyla Atakan Cd. no:15, 41050 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Mollao%C4%9Flu+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb457fda04071d:0x1bcc731da192fb2d!8m2!3d40.7651994!4d29.9299389!16s%2Fg%2F11fzf7r30r!19sChIJHQcE2n9FyxQRLfuSoR1zzBs?authuser=0&hl=tr&rclk=1
Nigtechgsm,"Ömerağa, Akça Cami Cd., 41300 İzmit/Kocaeli",0530 881 21 27,,N/A,https://www.google.com/maps/place/Escom+Bili%C5%9Fim+Cep+Telefonu+Tablet+Laptop+Notebook+Yaz%C4%B1c%C4%B1+Her+T%C3%BCrl%C3%BC+Elektronik+Alet+Tamir+servisi/data=!4m7!3m6!1s0x14cb51031df3273b:0xd08867494bc25d36!8m2!3d40.751467!4d30.0249487!16s%2Fg%2F11nkk3h0m5!19sChIJOyfzHQNRyxQRNl3CS0lniNA?authuser=0&hl=tr&rclk=1
Samsung İzmit,"Ömerağa, Alemdar Cd. No: 41/A, 41000 İzmit/Kocaeli",(0262) 321 08 00,,N/A,https://www.google.com/maps/place/Hi-Phone+Smart+Service/data=!4m7!3m6!1s0x14cb452c4c4ddca3:0xaac1c777b72e412c!8m2!3d40.763453!4d29.9345711!16s%2Fg%2F11spfm8w3l!19sChIJo9xNTCxFyxQRLEEut3fHwao?authuser=0&hl=tr&rclk=1
İPhone Kocaeli,"Erdem İş Merkezi, Ömerağa, Alemdar Cd. No:3 Kat:1, 41100 İzmit/Kocaeli",0551 895 78 38,,http://www.iphonekocaeli.com/,https://www.google.com/maps/place/Nigtechgsm/data=!4m7!3m6!1s0x14cb45005f0d72dd:0xf2b86fda6d4582d6!8m2!3d40.7656407!4d29.9285147!16s%2Fg%2F11vx5r8rph!19sChIJ3XINXwBFyxQR1oJFbdpvuPI?authuser=0&hl=tr&rclk=1
FATURAMATİK - Erdoğan İletişim,"Erenler, Turan Güneş Cd. 247/B, 41060 İzmit/Kocaeli",0545 485 57 74,,N/A,https://www.google.com/maps/place/Samsung+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4536a22c4c2b:0x30c2b0531949d8e7!8m2!3d40.7644721!4d29.9282512!16s%2Fg%2F11j1mgrf77!19sChIJK0wsojZFyxQR59hJGVOwwjA?authuser=0&hl=tr&rclk=1
Özlem iletişim,"429 Mahmutpaşa, Karamürsel Cd., 41140 Başiskele/Kocaeli",0542 580 82 11,,https://instagram.com/gsmozlem?igshid=MzRlODBiNWFlZA==,https://www.google.com/maps/place/%C4%B0Phone+Kocaeli/data=!4m7!3m6!1s0x14cb4f800ab87559:0xa6eea890519f79bf!8m2!3d40.7623153!4d29.9287079!16s%2Fg%2F11f40lzlf_!19sChIJWXW4CoBPyxQRv3mfUZCo7qY?authuser=0&hl=tr&rclk=1
Tim Turkcell İletişim Merkezi,"Yenişehir, Akasyalar Cd. Arasta Park No:24, 41050 İzmit/Kocaeli (Izmit)",0539 653 49 41,,N/A,https://www.google.com/maps/place/FATURAMAT%C4%B0K+-+Erdo%C4%9Fan+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb4ff205f4b767:0x7eca2bfef065e063!8m2!3d40.7712945!4d29.948623!16s%2Fg%2F11rrp5lwmf!19sChIJZ7f0BfJPyxQRY-Bl8P4ryn4?authuser=0&hl=tr&rclk=1
İLETKOM TİCARET ÇARŞI ŞUBESİ - TURKCELL,"ÖMERAĞA MAHALLESİ ALEMDAR CADDESİ SOYDAN İŞ MERKEZİ, NO:34/78, 41100 İzmit/Kocaeli",0538 286 00 00,,https://www.iletkom.com/,https://www.google.com/maps/place/%C3%96zlem+ileti%C5%9Fim/data=!4m7!3m6!1s0x14cb451ff8dc5971:0x2d64ffd2472d9454!8m2!3d40.7228282!4d29.9508723!16s%2Fg%2F11gfgxq927!19sChIJcVnc-B9FyxQRVJQtR9L_ZC0?authuser=0&hl=tr&rclk=1
"Yalçın İletişim, Teknik Servis, Telefoncu, Turkcell, Telefon Hastanesi","Yalçın-İletişim, Merkez, Preveze Cd. No:82/G, 41650 Gölcük/Kocaeli",0536 417 52 42,,N/A,https://www.google.com/maps/place/Tim+Turkcell+%C4%B0leti%C5%9Fim+Merkezi/data=!4m7!3m6!1s0x14cb501e770b17c5:0xb15cff5ac6c367cf!8m2!3d40.7667791!4d29.9765869!16s%2Fg%2F1hc3gtpbj!19sChIJxRcLdx5QyxQRz2fDxlr_XLE?authuser=0&hl=tr&rclk=1
Telephone Aksesuar Teknoloji / Teknik Servis,"Ömerağa, 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/%C4%B0LETKOM+T%C4%B0CARET+%C3%87AR%C5%9EI+%C5%9EUBES%C4%B0+-+TURKCELL/data=!4m7!3m6!1s0x14cb45ebb7a405af:0xcef48360145c30af!8m2!3d40.764362!4d29.9285564!16s%2Fg%2F11tdrtfy_t!19sChIJrwWkt-tFyxQRrzBcFGCD9M4?authuser=0&hl=tr&rclk=1
Tarık Erdem iletisim,"Ömerağa, Akça Cami Cd. sen is merkezi no:2/E, 41900 İzmit/Kocaeli",0506 805 91 49,,N/A,"https://www.google.com/maps/place/Yal%C3%A7%C4%B1n+%C4%B0leti%C5%9Fim,+Teknik+Servis,+Telefoncu,+Turkcell,+Telefon+Hastanesi/data=!4m7!3m6!1s0x14cb40d2042847af:0xcc31208288936651!8m2!3d40.7172787!4d29.8242112!16s%2Fg%2F11hb2hydsx!19sChIJr0coBNJAyxQRUWaTiIIgMcw?authuser=0&hl=tr&rclk=1"
TEKNOKAMPANYA İLETİŞİM - TURKCELL,"Ömerağa Mahallesi Alemdar Caddesi Soydan İş Merkezi, No:34/77, 41100 İzmit/Kocaeli",0534 970 50 70,,http://www.iletkom.com/,https://www.google.com/maps/place/Telephone+Aksesuar+Teknoloji+%2F+Teknik+Servis/data=!4m7!3m6!1s0x14cb457faf142d0f:0x82a8d74167cd5de0!8m2!3d40.7636006!4d29.9299096!16s%2Fg%2F11fkmxr0lj!19sChIJDy0Ur39FyxQR4F3NZ0HXqII?authuser=0&hl=tr&rclk=1
Türk Telekom,"Karabaş Mah. Salim Dervişoğlu Cad. No:82 Ncity, AVM, 41040 İzmit/Kocaeli",444 1 444,,https://www.turktelekom.com.tr/,https://www.google.com/maps/place/Tar%C4%B1k+Erdem+iletisim/data=!4m7!3m6!1s0x14cb45b4c6d92115:0x13afbf5d9ebd7482!8m2!3d40.7656233!4d29.9283152!16s%2Fg%2F11vwym8qff!19sChIJFSHZxrRFyxQRgnS9nl2_rxM?authuser=0&hl=tr&rclk=1
Türk Telekom,"Karabaş, Abdurrahman Yüksel Cd. No:10/A, 41500 İzmit/Kocaeli",444 1 444,,https://www.turktelekom.com.tr/,https://www.google.com/maps/place/TEKNOKAMPANYA+%C4%B0LET%C4%B0%C5%9E%C4%B0M+-+TURKCELL/data=!4m7!3m6!1s0x14cb4f9670a6fb49:0x43b370636fff7733!8m2!3d40.7643615!4d29.9285553!16s%2Fg%2F11fj3s2y4w!19sChIJSfumcJZPyxQRM3f_b2Nws0M?authuser=0&hl=tr&rclk=1
Yıltem Telekom,"Alikahya Fatih Mh. Seymen Cd, Muhabbet Sk. No:2, 41100 İzmit/Kocaeli",(0262) 325 15 50,info@yiltemtelekom.com,http://www.yiltemtelekom.com/,https://www.google.com/maps/place/T%C3%BCrk+Telekom/data=!4m7!3m6!1s0x152b6a5aec16b04f:0x5ab368d629816b4d!8m2!3d40.7604767!4d29.9344252!16s%2Fg%2F11bycgcc3d!19sChIJT7AW7FpqKxURTWuBKdZos1o?authuser=0&hl=tr&rclk=1
Ekran Terapisi,"SOYDAN İŞ MERKEZİ, Ömerağa, Alemdar Cd. No: 34 Zemin Kat No:4, 41300 İzmit/Kocaeli 1, sa. 26 dk, 41001 İzmit/Kocaeli",0536 416 11 29,,https://instagram.com/ekranterapisi?igshid=YmMyMTA2M2Y=,https://www.google.com/maps/place/T%C3%BCrk+Telekom/data=!4m7!3m6!1s0x14cabb4d87a9ed2b:0x1a8d3c2a85031f70!8m2!3d40.7646041!4d29.9303749!16s%2Fg%2F1tg83zzb!19sChIJK-2ph027yhQRcB8DhSo8jRo?authuser=0&hl=tr&rclk=1
Turkcell Iletişim Merkezi,"OMER AGA MAH. FETHIYE CAD. NO:11 IZMIT MERKEZ, 41310 İzmit",(0216) 344 44 44,"gnc-icon@2x.png, fizy-icon@2x.png, upcall-icon@2x.png, bip-icon@2x.png",https://www.turkcell.com.tr/,https://www.google.com/maps/place/Y%C4%B1ltem+Telekom/data=!4m7!3m6!1s0x14cb467267033715:0x5b6c417716de8789!8m2!3d40.775545!4d29.97859!16s%2Fg%2F1233pghhf!19sChIJFTcDZ3JGyxQRiYfeFndBbFs?authuser=0&hl=tr&rclk=1
Cep hane İletişim,"Ömerağa, İstiklal Sk No:1, 41300 İzmit/Kocaeli",0538 540 00 53,,https://instagram.com/cephanemaksesuar?igshid=1srgqkizrvor,https://www.google.com/maps/place/Ekran+Terapisi/data=!4m7!3m6!1s0x14cabbf49caa4c49:0xc9b4a18c4ec418e2!8m2!3d40.7645412!4d29.9283859!16s%2Fg%2F11t_kw09_t!19sChIJSUyqnPS7yhQR4hjEToyhtMk?authuser=0&hl=tr&rclk=1
Tamay İletişim,"Çukurbağ, İnönü Cd. No:169, 41050 İzmit/Kocaeli",0545 930 78 73,,N/A,https://www.google.com/maps/place/Turkcell+Ileti%C5%9Fim+Merkezi/data=!4m7!3m6!1s0x14cb4581b7844ab5:0x68e08b679bfa6d0b!8m2!3d40.7648648!4d29.9271756!16s%2Fg%2F11c1xpfgm2!19sChIJtUqEt4FFyxQRC236m2eL4Gg?authuser=0&hl=tr&rclk=1
KYA Teknoloji Turkcell İletişim Merkezi Dolphin AVM,"Körfez, Gazanfer Bilge Blv, 41040 İzmit/Kocaeli",0533 960 99 41,,https://www.instagram.com/turkcell_kyateknoloji/,https://www.google.com/maps/place/Cep+hane+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb450dd99ef0bf:0xf11d77b99406c134!8m2!3d40.7635765!4d29.927784!16s%2Fg%2F11hdsrs_8w!19sChIJv_Ce2Q1FyxQRNMEGlLl3HfE?authuser=0&hl=tr&rclk=1
Ekin Teknik,"Ömerağa, Akça Cami Cd., 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Tamay+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb4fdd9613fc95:0xfaeaedb1dfedc148!8m2!3d40.7667923!4d29.9330833!16s%2Fg%2F11fwdgk_2q!19sChIJlfwTlt1PyxQRSMHt37Ht6vo?authuser=0&hl=tr&rclk=1
Üçyol GSM - Teknik Servis - İzmit telefon tamiri - İzmit cep telefon tamiri - İphone servis,"28 Haziran, Turan Güneş Cd. No:259, 41060 İzmit/Kocaeli",0505 787 53 41,,https://ucyolgsm.sahibinden.com/,https://www.google.com/maps/place/KYA+Teknoloji+Turkcell+%C4%B0leti%C5%9Fim+Merkezi+Dolphin+AVM/data=!4m7!3m6!1s0x14cb45dbeb192a8f:0xfaf10338da5590e5!8m2!3d40.7630702!4d29.9378594!16s%2Fg%2F11rglj2v7m!19sChIJjyoZ69tFyxQR5ZBV2jgD8fo?authuser=0&hl=tr&rclk=1
As Mobil - Kocaeli Symbol AVM,"Ovacık, 41140 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/Ekin+Teknik/data=!4m7!3m6!1s0x14cb457ffbedace1:0x2949cd542342ae53!8m2!3d40.7656587!4d29.9282331!16s%2Fg%2F11ffl__tdm!19sChIJ4azt-39FyxQRU65CI1TNSSk?authuser=0&hl=tr&rclk=1
Mir gsm,"Ömerağa, 41001 İzmit/Kocaeli",0532 646 41 21,,N/A,https://www.google.com/maps/place/%C3%9C%C3%A7yol+GSM+-+Teknik+Servis+-+%C4%B0zmit+telefon+tamiri+-+%C4%B0zmit+cep+telefon+tamiri+-+%C4%B0phone+servis/data=!4m7!3m6!1s0x14cb4fbd3ddcc7c1:0x922c771479665ca6!8m2!3d40.7716814!4d29.9493937!16s%2Fg%2F11j8nckkz2!19sChIJwcfcPb1PyxQRplxmeRR3LJI?authuser=0&hl=tr&rclk=1
ESA AKSESUAR,"Acısu, 41320 Kartepe/Kocaeli",0535 440 24 09,,N/A,https://www.google.com/maps/place/As+Mobil+-+Kocaeli+Symbol+AVM/data=!4m7!3m6!1s0x14cb516cf323ee5f:0xdd5ce4ffb5fd87f1!8m2!3d40.7578316!4d29.9798454!16s%2Fg%2F11pd7cx37x!19sChIJX-4j82xRyxQR8Yf9tf_kXN0?authuser=0&hl=tr&rclk=1
Paşa Elektronik,"Kadıköy, Kamelya Sk. 5/b, 41100 İzmit/Kocaeli",0538 402 77 41,,N/A,https://www.google.com/maps/place/Mir+gsm/data=!4m7!3m6!1s0x14cb45d8aca64521:0x6b3efd1b1272893d!8m2!3d40.7656875!4d29.9289844!16s%2Fg%2F11yb__1nxm!19sChIJIUWmrNhFyxQRPYlyEhv9Pms?authuser=0&hl=tr&rclk=1
ONUR İletişim Sıfır ve 2. El cihaz alım satım,"Ömerağa, İstiklal Cd., 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/ESA+AKSESUAR/data=!4m7!3m6!1s0x14cb57696a82d989:0x99a401f5fc3eda72!8m2!3d40.728384!4d30.0713809!16s%2Fg%2F11h54r1zf1!19sChIJidmCamlXyxQRcto-_PUBpJk?authuser=0&hl=tr&rclk=1
