Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
GAMINO TEKNOLOJİ YATIRIM A.Ş.,"M.Ali paşa mahallesi GMK Bulvarı, Erdem Sk. No:1 Kat 2, 41050 İzmit/Kocaeli",0539 646 55 99,,https://gamino.tech/,https://www.google.com/maps/place/Misbah+Bilgisayar/data=!4m7!3m6!1s0x14cb4f8d7dd3dbd7:0xa7567199dbbd946a!8m2!3d40.7693668!4d29.9484264!16s%2Fg%2F11h45r9tzy!19sChIJ19vTfY1PyxQRapS925lxVqc?authuser=0&hl=tr&rclk=1
İrk Eğitim Yazılım ve Danışmanlık,"Dumlupınar, Atlas Sk. No:124, 41250 Kartepe/Kocaeli",,,,https://www.google.com/maps/place/%C4%B0zmit+Necip+Bilgisayar+%28Belsa+Plaza+Necip+Bilgisayar%29/data=!4m7!3m6!1s0x14cb457fe9103a55:0xf60600bcccaba88d!8m2!3d40.765006!4d29.929011!16s%2Fg%2F11c57vtg5w!19sChIJVToQ6X9FyxQRjairzLwABvY?authuser=0&hl=tr&rclk=1
Medya Bilgisayar,"Ömerağa, Belsa Sk. No:3, 41300 İzmit/Kocaeli",(0262) 332 09 18,,,https://www.google.com/maps/place/GAMINO+TEKNOLOJ%C4%B0+YATIRIM+A.%C5%9E./data=!4m7!3m6!1s0x14cb4ffe81d5b47d:0x977cba1d3f1da0c5!8m2!3d40.7677922!4d29.9585572!16s%2Fg%2F11ppv1kz3n!19sChIJfbTVgf5PyxQRxaAdPx26fJc?authuser=0&hl=tr&rclk=1
UbitIQ,"Kadıköy, Bahri Çakır Sk. 8/A, 41050 İzmit/Kocaeli",,bilgi@ubitiq.com,http://ubitiq.com/,https://www.google.com/maps/place/%C4%B0rk+E%C4%9Fitim+Yaz%C4%B1l%C4%B1m+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/data=!4m7!3m6!1s0x14cb51531036a15b:0x4c7f55f29494e209!8m2!3d40.7545147!4d30.0193799!16s%2Fg%2F11sfk4v201!19sChIJW6E2EFNRyxQRCeKUlPJVf0w?authuser=0&hl=tr&rclk=1
Vatan Bilgisayar İzmit,"Gölcük Yolu, Ömer Türkçakal Blv. No:89, 41040 İzmit/Kocaeli",,,http://www.vatanbilgisayar.com/,https://www.google.com/maps/place/Medya+Bilgisayar/data=!4m7!3m6!1s0x14cb457fe6ff419f:0xce1f837d3625548b!8m2!3d40.7644949!4d29.9287128!16s%2Fg%2F1262rhflm!19sChIJn0H_5n9FyxQRi1QlNn2DH84?authuser=0&hl=tr&rclk=1
Digital Elektronik Hasan Lüleci,"Kadıköy, Atatürk Blv. No:35, 41050 İzmit/Kocaeli",0536 224 74 22,,https://digitalelektronik.net/,https://www.google.com/maps/place/UbitIQ/data=!4m7!3m6!1s0x14cb4f9292a15883:0x29796d79565b1c15!8m2!3d40.7704484!4d29.9486722!16s%2Fg%2F11vj44xyq9!19sChIJg1ihkpJPyxQRFRxbVnlteSk?authuser=0&hl=tr&rclk=1
"Reform Bilişim / Web Tasarım, Sosyal Medya, E-Ticaret, Kurumsal Kimlik","Çukurbağ, Bahariye Cd. No:18/3, 41300 İzmit/Kocaeli",0850 302 2841,"info@reformbilisim.com, destek@reformbilisim.com, ajax-loader@2x.gif",https://www.reformbilisim.com/,https://www.google.com/maps/place/Digital+Elektronik+Hasan+L%C3%BCleci/data=!4m7!3m6!1s0x14cb4f8925a7ccf9:0x4db0998bd7e032f0!8m2!3d40.7657919!4d29.9427838!16s%2Fg%2F11h07zvv6r!19sChIJ-cynJYlPyxQR8DLg14uZsE0?authuser=0&hl=tr&rclk=1
Nitro Bilişim,"Kozluk, İnönü Cd. No:58/A, 41200 İzmit/Kocaeli",0533 603 13 87,,,https://www.google.com/maps/place/B%C4%B0L%C4%B0%C5%9E%C4%B0MPOST+YAZILIM+ve+B%C4%B0LG%C4%B0SAYAR+H%C4%B0ZMETLER%C4%B0/data=!4m7!3m6!1s0x14cb4f447c7a4023:0xc26e25f852a21fc1!8m2!3d40.7654039!4d29.9536573!16s%2Fg%2F11pz0przhl!19sChIJI0B6fERPyxQRwR-iUvglbsI?authuser=0&hl=tr&rclk=1
SiyahKare Yazılım Teknoloji San. Tic. A.Ş.,"KÖRFEZ MAH. YÜCE RIFAT SK. NO: 73, Körfez, İÇ KAPI NO: 9, 41300 İzmit/Kocaeli",0532 556 64 96,,,"https://www.google.com/maps/place/Reform+Bili%C5%9Fim+%2F+Web+Tasar%C4%B1m,+Sosyal+Medya,+E-Ticaret,+Kurumsal+Kimlik/data=!4m7!3m6!1s0x14cb4580449ca9f9:0x8dce086aa0785e50!8m2!3d40.7672059!4d29.9339034!16s%2Fg%2F1vttzz4k!19sChIJ-amcRIBFyxQRUF54oGoIzo0?authuser=0&hl=tr&rclk=1"
Mimasis Bilgisayar,"Tepecik, İnönü Cd. No:114, 41200 İzmit/Kocaeli",(0262) 331 00 10,,,https://www.google.com/maps/place/Nitro+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb4586839f94bf:0x956e6cdbe373c843!8m2!3d40.7638935!4d29.9195891!16s%2Fg%2F11bxfv41r0!19sChIJv5Sfg4ZFyxQRQ8hz49tsbpU?authuser=0&hl=tr&rclk=1
ABT MÜHENDİSLİK OTOMASYON BİLİŞİM SAN. Ve TİC. LTD. ŞTİ.,"Sanayi Mh. Çarşıyapı İş Merkezi 10B Blok İç Kapı: B30, 41000 İzmit/Kocaeli",(0262) 311 74 42,info@abtmuhendislik.com,http://www.abtmuhendislik.com/,https://www.google.com/maps/place/SiyahKare+Yaz%C4%B1l%C4%B1m+Teknoloji+San.+Tic.+A.%C5%9E./data=!4m7!3m6!1s0x14cb4f1db932a01d:0x99d25181a80c782b!8m2!3d40.7636207!4d29.9512597!16s%2Fg%2F11qpjdfffb!19sChIJHaAyuR1PyxQRK3gMqIFR0pk?authuser=0&hl=tr&rclk=1
Gökay Elektronik | Kocaeli Laptop Servisi,"Ömerağa Mahallesi Belsa İş Merkezi Kat: 1 NO : 159, 41300 İzmit/Kocaeli",0537 993 39 93,info@gokayelektronik.com,http://www.gokayelektronik.com/,https://www.google.com/maps/place/Samsung+Kocaeli+Beyaz+E%C5%9Fya+ve+Elektronik+Yetkili+Servisi+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cb4f1c2184417b:0x136ea3a12bca80f4!8m2!3d40.7669095!4d29.9433313!16s%2Fg%2F11j68c_gd9!19sChIJe0GEIRxPyxQR9IDKK6GjbhM?authuser=0&hl=tr&rclk=1
Bitekno Güvenlik ve İletişim Sistemleri Ltd. Şti.,"Kadıköy, Esendal Sk. No:17/c, 41040 İzmit/Kocaeli",0850 840 4884,info@bitekno.com,http://www.bitekno.com/,https://www.google.com/maps/place/G%C3%B6kay+Elektronik+%7C+Kocaeli+Laptop+Servisi/data=!4m7!3m6!1s0x14cb457f93aa83dd:0xb5011ade8a8decf2!8m2!3d40.765041!4d29.9291986!16s%2Fg%2F11gdm7k7ml!19sChIJ3YOqk39FyxQR8uyNit4aAbU?authuser=0&hl=tr&rclk=1
Toshiba servisi kocaeli,"Ömerağa, Müjdat Afşin Sk. No:6 Blok no 40, 41100 İzmit/Kocaeli",(0262) 324 61 39,,,https://www.google.com/maps/place/Bitekno+G%C3%BCvenlik+ve+%C4%B0leti%C5%9Fim+Sistemleri+Ltd.+%C5%9Eti./data=!4m7!3m6!1s0x14cb457ff3a80019:0xffd9945467b46c29!8m2!3d40.7663985!4d29.9488909!16s%2Fg%2F1v38drkh!19sChIJGQCo839FyxQRKWy0Z1SU2f8?authuser=0&hl=tr&rclk=1
Hürmak Bilişim Hizmetleri,"Yenişehir, Bulut Sk. No:37, 41050 İzmit/Kocaeli",,,,https://www.google.com/maps/place/TBTNET+TELEKOM/data=!4m7!3m6!1s0x14cb4fe63f1ae283:0x7b461654eb8fb4fc!8m2!3d40.7713316!4d29.9657564!16s%2Fg%2F1q62kk6xb!19sChIJg-IaP-ZPyxQR_LSP61QWRns?authuser=0&hl=tr&rclk=1
Kocaeli Gönüllüsü,"Karabaş, No:, Karabaş, 6. Cd. No:21, 41040 İzmit/Kocaeli",(0262) 323 71 14,,,https://www.google.com/maps/place/Toshiba+servisi+kocaeli/data=!4m7!3m6!1s0x14cb457feb2764eb:0x250c2c5d90a3a84f!8m2!3d40.7644901!4d29.9283859!16s%2Fg%2F11c51rqz19!19sChIJ62Qn639FyxQRT6ijkF0sDCU?authuser=0&hl=tr&rclk=1
Callforsoft - Kocaeli Web Tasarım ve Yazılım Ajansı,"Kemalpaşa, Gümrükçüler Cd. Fazlıoğlu İş Merkezi No:13/82 Kat:6, 41200 İzmit/Kocaeli",0543 571 70 63,,http://callforsoft.com/,https://www.google.com/maps/place/H%C3%BCrmak+Bili%C5%9Fim+Hizmetleri/data=!4m7!3m6!1s0x14cb4f8f825a03fb:0x61cc59d2663a6830!8m2!3d40.7694202!4d29.9628513!16s%2Fg%2F11v5bkbvmb!19sChIJ-wNago9PyxQRMGg6ZtJZzGE?authuser=0&hl=tr&rclk=1
Sultan Bilgisayar,"Fevzi Çakmak, Hürriyet Cad. Gakko Kervansaray İş Hanı D:30, 41310 İzmit/Kocaeli (Izmit)",(0262) 321 04 71,,,https://www.google.com/maps/place/Callforsoft+-+Kocaeli+Web+Tasar%C4%B1m+ve+Yaz%C4%B1l%C4%B1m+Ajans%C4%B1/data=!4m7!3m6!1s0x14cb45855eefc197:0xc90af777185c13ed!8m2!3d40.7618154!4d29.9225498!16s%2Fg%2F11p_4r2k41!19sChIJl8HvXoVFyxQR7RNcGHf3Csk?authuser=0&hl=tr&rclk=1
bucod - Yazılım ve Web Geliştirme,"Sanayi, Çelikyay Sokak No: 15/3, 41060 İzmit/Kocaeli",0531 901 13 07,"info@bucod.com, devicon@v2.15.1, typed.js@2.0.12",https://www.bucod.com/,https://www.google.com/maps/place/ACADEMY+B%C4%B0L%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cb4f8625033563:0x223b29316116c7b3!8m2!3d40.766014!4d29.938774!16s%2Fg%2F1tzvys6m!19sChIJYzUDJYZPyxQRs8cWYTEpOyI?authuser=0&hl=tr&rclk=1
Asbiltek Bilgisayar,"Karabaş, Leyla Atakan Cd. No:33, 41040 İzmit/Kocaeli",(0262) 332 47 20,"info@asbiltek.com, teknik@asbiltek.com",http://www.asbiltek.com/,https://www.google.com/maps/place/Sultan+Bilgisayar/data=!4m7!3m6!1s0x14cb45819da58f31:0x4b57ce3be5c050e1!8m2!3d40.775517!4d29.991453!16s%2Fg%2F1hc23h816!19sChIJMY-lnYFFyxQR4VDA5TvOV0s?authuser=0&hl=tr&rclk=1
FourByte Yazılım ve Danışmanlık,"İstasyon, Leyla Atakan Cad. No:11 İşyeri No:5, 41000 Kartepe/Kocaeli",0531 744 10 00,info@fourbyte.com.tr,https://fourbyte.com.tr/,https://www.google.com/maps/place/Asbiltek+Bilgisayar/data=!4m7!3m6!1s0x14cb4f87487d705d:0xc493c15d4eb76349!8m2!3d40.7651244!4d29.9342014!16s%2Fg%2F11c4988d5f!19sChIJXXB9SIdPyxQRSWO3Tl3Bk8Q?authuser=0&hl=tr&rclk=1
Aka Bilişim,"Yenişehir, Arda Sk. No:36/A, 41050 İzmit/Kocaeli",0532 573 01 24,,,https://www.google.com/maps/place/X+Teknik+Servis/data=!4m7!3m6!1s0x14cb4f631c0764bb:0x9d8704d773efca3a!8m2!3d40.7653177!4d29.9295092!16s%2Fg%2F11h8j_2bvw!19sChIJu2QHHGNPyxQROsrvc9cEh50?authuser=0&hl=tr&rclk=1
ERİŞ ELEKTRONİK - HALİL ERİŞ,"Ömerağa Mah. A.Yüksel Cad. Belsa Plaza İş Merkezi Kat:1 NO:101, 41300 İzmit/Kocaeli",0545 321 66 41,,,https://www.google.com/maps/place/FourByte+Yaz%C4%B1l%C4%B1m+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/data=!4m7!3m6!1s0x14cb5152ece31e5f:0x521ccc99a72e14b1!8m2!3d40.7519336!4d30.0231832!16s%2Fg%2F11wx_24q35!19sChIJXx7j7FJRyxQRsRQup5nMHFI?authuser=0&hl=tr&rclk=1
Asc Bilgisayar,"Ömerağa, Hafız Şerif Sk. 30c, 41300 İzmit/Kocaeli",(0262) 332 25 75,,,https://www.google.com/maps/place/Aka+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb4ff04bc1aaab:0x3267557a905f6ef7!8m2!3d40.7648653!4d29.9598816!16s%2Fg%2F11swv_69gk!19sChIJq6rBS_BPyxQR925fkHpVZzI?authuser=0&hl=tr&rclk=1
İnceoğlu Bilişim,"Karabaş, İkizli Çeşme Sk., 41040 İzmit/Kocaeli",(0262) 323 39 35,info@inceoglubilisim.com,https://www.inceoglubilisim.com/about-us/,https://www.google.com/maps/place/ER%C4%B0%C5%9E+ELEKTRON%C4%B0K+-+HAL%C4%B0L+ER%C4%B0%C5%9E/data=!4m7!3m6!1s0x14cb4582f36599c3:0x3223cc40fac4f7b4!8m2!3d40.7648953!4d29.9299074!16s%2Fg%2F11j_zb5z02!19sChIJw5ll84JFyxQRtPfE-kDMIzI?authuser=0&hl=tr&rclk=1
MKS BİLİŞİM VE YAZILIM,"Cedit, Atatürk Blv., 41300 İzmit/Kocaeli",,,,https://www.google.com/maps/place/%C4%B0nceo%C4%9Flu+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb4f80be53699b:0xf19e24848b3bd7ab!8m2!3d40.7656019!4d29.9323999!16s%2Fg%2F11tdjlc1y2!19sChIJm2lTvoBPyxQRq9c7i4QknvE?authuser=0&hl=tr&rclk=1
ZUKOD,"Muallimköy Mah. Deniz Cad. Bilişim Vadisi No:143/13 1.2.B Blok Kat:3 No:339, Kocaeli",(0216) 504 15 99,,,https://www.google.com/maps/place/Algorist+Yaz%C4%B1l%C4%B1m+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/data=!4m7!3m6!1s0x14cb4ef5575bf423:0xfeae3fd55a836a00!8m2!3d40.821143!4d29.9275!16s%2Fg%2F11b774lcr6!19sChIJI_RbV_VOyxQRAGqDWtU_rv4?authuser=0&hl=tr&rclk=1
1453 Bilişim Sistemleri,"Yenişehir, Şht. Selçuk Gökdağ Sk., 41050 İzmit/Kocaeli",,,,https://www.google.com/maps/place/MKS+B%C4%B0L%C4%B0%C5%9E%C4%B0M+VE+YAZILIM/data=!4m7!3m6!1s0x14cb4f1b2cc9aa55:0xcb8446abed6a3ef9!8m2!3d40.7654273!4d29.9384304!16s%2Fg%2F11fn1ys2d8!19sChIJVarJLBtPyxQR-T5q7atGhMs?authuser=0&hl=tr&rclk=1
Baki Bilişim,"Karabaş, Ncity Alışveriş Merkezi Bowlingo 2. Kat, 41200 İzmit/Kocaeli",0507 817 27 17,bilgi@bakibilisim.com,http://www.bakibilisim.com/,https://www.google.com/maps/place/ZUKOD/data=!4m7!3m6!1s0x14cb4f88ed2ad047:0xbf1706ee5d8eb772!8m2!3d40.7654408!4d29.9408089!16s%2Fg%2F11t79mf9z9!19sChIJR9Aq7YhPyxQRcreOXe4GF78?authuser=0&hl=tr&rclk=1
incodetr,"Ömerağa Mah Şehabettin bilgisu Cad Latifbey Sok Fersan İş Hanı K2/7, 41300 İzmit/Kocaeli",0552 301 61 90,,http://www.incodetr.com/,https://www.google.com/maps/place/Mast+Software/data=!4m7!3m6!1s0x14cb4fa618d25caf:0x2f29126552beea2c!8m2!3d40.7696292!4d29.9439723!16s%2Fg%2F11p5g5j16v!19sChIJr1zSGKZPyxQRLOq-UmUSKS8?authuser=0&hl=tr&rclk=1
Rubius Yazılım ve Kreatif Marka Ajansı,"Sanayi Mahallesi Kumru Sokak No: 8 Yavuz İş Merkezi Kat: 4 Ofis: 22, 41040 İzmit/Kocaeli",0506 181 47 45,creative@rubius.co,https://www.rubius.co/tr,https://www.google.com/maps/place/Ayat+Bili%C5%9Fim+%C4%B0zmit/data=!4m7!3m6!1s0x14cb45c6bdf39c07:0xafe90a347f52486a!8m2!3d40.7628756!4d29.9224865!16s%2Fg%2F11n094mql3!19sChIJB5zzvcZFyxQRakhSfzQK6a8?authuser=0&hl=tr&rclk=1
Siyah Kare İnteraktif Digital Ajans,"Cedit, Atatürk Blv. No:1, 41300 İzmit/Kocaeli",0850 532 3642,,,https://www.google.com/maps/place/Rubius+Yaz%C4%B1l%C4%B1m+ve+Kreatif+Marka+Ajans%C4%B1/data=!4m7!3m6!1s0x14cb455b18b24941:0xc1d3b6115088fbf0!8m2!3d40.7499859!4d29.9529488!16s%2Fg%2F11rzgw454k!19sChIJQUmyGFtFyxQR8PuIUBG208E?authuser=0&hl=tr&rclk=1
A4 Web Tasarım ve Yazılım Hizmetleri,"Kemalpaşa Mh. Demirsoy İş Merkezi Kat:2/19 İzmit / Kocaeli, 41100",0506 752 35 74,,,https://www.google.com/maps/place/%C4%B0nnovia+Bili%C5%9Fim+Bilgisayar+ve+Sistem+G%C3%BCvenli%C4%9Fi+Hizmetleri/data=!4m7!3m6!1s0x14cb4fbb21e2961b:0xb712ec815a686365!8m2!3d40.7653071!4d29.9480963!16s%2Fg%2F11k0sr34sf!19sChIJG5biIbtPyxQRZWNoWoHsErc?authuser=0&hl=tr&rclk=1
Mita Yazılım,"D130 No:30B39, Sahil, 41090 Başiskele/Kocaeli",0533 231 40 28,,https://www.mitayazilim.com/contact/,https://www.google.com/maps/place/Siyah+Kare+%C4%B0nteraktif+Digital+Ajans/data=!4m7!3m6!1s0x14cb457fb3f2bdb9:0x20db2d636f395c3!8m2!3d40.7651383!4d29.9358124!16s%2Fg%2F11b6hy4d00!19sChIJub3ys39FyxQRw5XzNtayDQI?authuser=0&hl=tr&rclk=1
Gürkaya Bilgisayar - Kocaeli İzmit,"Yenişehir, Atacan Sk. No:25/B, 41050 İzmit/Kocaeli",(0262) 322 52 54,,,https://www.google.com/maps/place/Mita+Yaz%C4%B1l%C4%B1m/data=!4m7!3m6!1s0x14cb445f623c1e01:0xb59cc3cdb6516498!8m2!3d40.7135658!4d29.9278659!16s%2Fg%2F11lcj84tk5!19sChIJAR48Yl9EyxQRmGRRts3DnLU?authuser=0&hl=tr&rclk=1
Baybarkod,"Karabaş, Müneccim Arif Sk. APT. NO:15, 41040 İzmit/Kocaeli",(0262) 332 33 70,,https://www.baybarkod.com/,https://www.google.com/maps/place/%C4%B0zmit+Bili%C5%9Fim/data=!4m7!3m6!1s0x4f86b817507ce3df:0xdb7ea908d7d66f5b!8m2!3d40.870853!4d29.8504346!16s%2Fg%2F11jt3rftt7!19sChIJ3-N8UBe4hk8RW2_W1wipfts?authuser=0&hl=tr&rclk=1
Lilidea Yazılım Ve Teknoloji,"Yahyakaptan Mahallesi Akasyalar Caddesi No:24 Arastapark, AVM, 41040 İzmit/Kocaeli",0850 885 0481,"873078_Asset-5@4x.png, 8@4x.png, fontawesome-free@6.4.2, 34925_Asset-5@4x.png, 992047_Asset-5@4x.png, destek@lilidea.com, 667847_Asset-5@4x.png, 439370_Asset-5@4x.png",http://www.lilidea.com/,https://www.google.com/maps/place/G%C3%BCrkaya+Bilgisayar+-+Kocaeli+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4fe53413731b:0xf17ad795616e95d5!8m2!3d40.7651486!4d29.9642498!16s%2Fg%2F11flz453ls!19sChIJG3MTNOVPyxQR1ZVuYZXXevE?authuser=0&hl=tr&rclk=1
Web Tasarım & Yazılım Best Teknoloji,"Karabaş Mah. Hafız Selim Efendi Sk. Ceylan Apartmanı, Kat:3 Daire:6, 41100",(0262) 325 85 25,iletisim@bestteknoloji.com,http://www.bestteknoloji.com/,https://www.google.com/maps/place/Lilidea+Yaz%C4%B1l%C4%B1m+Ve+Teknoloji/data=!4m7!3m6!1s0x14cb51c28c473d47:0x40db3bb8848ecbcd!8m2!3d40.7672676!4d29.9763366!16s%2Fg%2F11x6l97l48!19sChIJRz1HjMJRyxQRzcuOhLg720A?authuser=0&hl=tr&rclk=1
KOZAN BİLGİSAYAR - izmit toner dolum - Kocaeli toner dolum,"ömerağa mahallesi sanat sokak sipahioğlu pasajı NO.10 p32, 41100 İzmit",(0262) 323 43 06,info@kozanbilgisayar.com,http://kozanbilgisayar.com/,https://www.google.com/maps/place/4m+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb4fefd0ed0ee9:0x2b69c5eb940b05b0!8m2!3d40.7665241!4d29.9602222!16s%2Fg%2F11y26qlt35!19sChIJ6Q7t0O9PyxQRsAULlOvFaSs?authuser=0&hl=tr&rclk=1
Maviay Yazılım,"Yeniköy Merkez, Kocaeli Üniversitesi Teknoloji Geliştirme Bölgesi, NO:83 E:10 41275, Vatan Cd., 41275 Başiskele/Kocaeli",(0262) 322 12 35,,https://www.maviay.co/,https://www.google.com/maps/place/KOZAN+B%C4%B0LG%C4%B0SAYAR+-+izmit+toner+dolum+-+Kocaeli+toner+dolum/data=!4m7!3m6!1s0x14cb4567049c2ded:0xad9739327a1cbf43!8m2!3d40.7651836!4d29.9275496!16s%2Fg%2F11h79t3qzn!19sChIJ7S2cBGdFyxQRQ78cejI5l60?authuser=0&hl=tr&rclk=1
emapos barkod yazılım otomasyon sistemleri,"Ömerağa, Abdurrahman Yüksel Cd. Belsa Plaza Kat:1 No157 emapos, 41000 İzmit/Kocaeli",0537 397 23 17,info@emapos.com.tr,https://emapos.com.tr/,https://www.google.com/maps/place/Gematri/data=!4m7!3m6!1s0x14cb4fd82add8ceb:0x97db0f7ff1857a2c!8m2!3d40.7614157!4d29.950063!16s%2Fg%2F11y3jfxr07!19sChIJ64zdKthPyxQRLHqF8X8P25c?authuser=0&hl=tr&rclk=1
