Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Rubius Yazılım ve Kreatif Marka Ajansı,"Sanayi Mahallesi Kumru Sokak No: 8 Yavuz İş Merkezi Kat: 4 Ofis: 22, 41040 İzmit/Kocaeli",0506 181 47 45,creative@rubius.co,https://www.rubius.co/tr,https://www.google.com/maps/place/Ayat+Bili%C5%9Fim+%C4%B0zmit/data=!4m7!3m6!1s0x14cb45c6bdf39c07:0xafe90a347f52486a!8m2!3d40.7628756!4d29.9224865!16s%2Fg%2F11n094mql3!19sChIJB5zzvcZFyxQRakhSfzQK6a8?authuser=0&hl=tr&rclk=1
Lilidea Yazılım Ve Teknoloji,"Yahyakaptan Mahallesi Akasyalar Caddesi No:24 Arastapark, AVM, 41040 İzmit/Kocaeli",0850 885 0481,"fontawesome-free@6.4.2, destek@lilidea.com",http://www.lilidea.com/,https://www.google.com/maps/place/G%C3%BCrkaya+Bilgisayar+-+Kocaeli+%C4%B0zmit/data=!4m7!3m6!1s0x14cb4fe53413731b:0xf17ad795616e95d5!8m2!3d40.7651486!4d29.9642498!16s%2Fg%2F11flz453ls!19sChIJG3MTNOVPyxQR1ZVuYZXXevE?authuser=0&hl=tr&rclk=1
Web Tasarım & Yazılım Best Teknoloji,"Karabaş Mah. Hafız Selim Efendi Sk. Ceylan Apartmanı, Kat:3 Daire:6, 41100",(0262) 325 85 25,iletisim@bestteknoloji.com,http://www.bestteknoloji.com/,https://www.google.com/maps/place/Lilidea+Yaz%C4%B1l%C4%B1m+Ve+Teknoloji/data=!4m7!3m6!1s0x14cb51c28c473d47:0x40db3bb8848ecbcd!8m2!3d40.7672676!4d29.9763366!16s%2Fg%2F11x6l97l48!19sChIJRz1HjMJRyxQRzcuOhLg720A?authuser=0&hl=tr&rclk=1
KOZAN BİLGİSAYAR - izmit toner dolum - Kocaeli toner dolum,"ömerağa mahallesi sanat sokak sipahioğlu pasajı NO.10 p32, 41100 İzmit",(0262) 323 43 06,info@kozanbilgisayar.com,http://kozanbilgisayar.com/,https://www.google.com/maps/place/4m+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb4fefd0ed0ee9:0x2b69c5eb940b05b0!8m2!3d40.7665241!4d29.9602222!16s%2Fg%2F11y26qlt35!19sChIJ6Q7t0O9PyxQRsAULlOvFaSs?authuser=0&hl=tr&rclk=1
emapos barkod yazılım otomasyon sistemleri,"Ömerağa, Abdurrahman Yüksel Cd. Belsa Plaza Kat:1 No157 emapos, 41000 İzmit/Kocaeli",0537 397 23 17,info@emapos.com.tr,https://emapos.com.tr/,https://www.google.com/maps/place/Gematri/data=!4m7!3m6!1s0x14cb4fd82add8ceb:0x97db0f7ff1857a2c!8m2!3d40.7614157!4d29.950063!16s%2Fg%2F11y3jfxr07!19sChIJ64zdKthPyxQRLHqF8X8P25c?authuser=0&hl=tr&rclk=1
Hi Bro | Kocaeli Web Tasarım | Reklam Ajansı | Sosyal Medya | Prodüksiyon ve SEO Ajansı,"Çarşı Yapı AVM, Sanayi, B18/K3, 41040 İzmit/Kocaeli",0850 840 4185,"lazyload@2.0.0-rc.2, hi@hibro.co, htmx.org@1.9.10",https://www.hibro.co/,https://www.google.com/maps/place/Nas+Bili%C5%9Fim+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+Hiz.+Burak+%C3%96%C4%9EREN%C4%B0R/data=!4m7!3m6!1s0x14cb457f8d457013:0xcd3a756005cfb09b!8m2!3d40.7647319!4d29.9284636!16s%2Fg%2F11c2y8sqkh!19sChIJE3BFjX9FyxQRm7DPBWB1Os0?authuser=0&hl=tr&rclk=1
TROY Apple Yetkili Satıcı ve Yetkili Servis Sağlayıcısı,"Sanayi Mah. Ömer Türkçakal Bul. 41 Burda AVM Kat:1 No:156, 41040 İzmit/Kocaeli",0850 532 1992,"Autho_Ser_Provi_2ln_blk_US_051117_1eebbd09-930c-4776-a2ae-9b2d3555747a_130x@2x.svg, Logo-Footer-Apple-Premium-Partner_100x@2x.svg, Authorized_Education_Specialist_2ln_blk_CAEN_110821_130x@2x.svg, info@troyestore.com",https://www.troyestore.com/,https://www.google.com/maps/place/Hi+Bro+%7C+Kocaeli+Web+Tasar%C4%B1m+%7C+Reklam+Ajans%C4%B1+%7C+Sosyal+Medya+%7C+Prod%C3%BCksiyon+ve+SEO+Ajans%C4%B1/data=!4m7!3m6!1s0x14cb455c3382057f:0x3187ef2096612a00!8m2!3d40.7532765!4d29.9538283!16s%2Fg%2F11bc7rxx70!19sChIJfwWCM1xFyxQRACphliDvhzE?authuser=0&hl=tr&rclk=1
AKYASİS,"Hacıhasan Mahallesi, Doğanbirlik Apartmanı No:45 Kat:1 Daire:1, İnönü Cd., 41000",0850 807 0311,bilgi@akyasis.com,http://www.akyasis.com/,https://www.google.com/maps/place/Bu+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb4f750c9426f7:0x745a16f942abf1c9!8m2!3d40.7879607!4d29.969226!16s%2Fg%2F11f9_crj5l!19sChIJ9yaUDHVPyxQRyfGrQvkWWnQ?authuser=0&hl=tr&rclk=1
"Essente Bilişim | Kocaeli Web Tasarım, E-Ticaret, Sosyal Medya, Mobil Uygulama","Sanayi Mah D-130 Karayolu, Sanayi, Cad No:117, 41100 İzmit/Kocaeli",(0262) 322 41 12,info@essentebilisim.com,https://www.essentebilisim.com/,https://www.google.com/maps/place/Limon+Akademi/data=!4m7!3m6!1s0x14cb457f69955225:0xf3a336bed13abafd!8m2!3d40.762454!4d29.928703!16s%2Fg%2F11cjkq70jv!19sChIJJVKVaX9FyxQR_bo60b42o_M?authuser=0&hl=tr&rclk=1
Nikofect,"Ömerağa, Alemdar Cd. Karaçetin İş Merkezi Kat:5 No:28, 41300 İzmit/Kocaeli",0537 818 57 62,info@nikofect.com,https://nikofect.com/,https://www.google.com/maps/place/Ludusco/data=!4m7!3m6!1s0x14cb4fe498ea6e1b:0x443ba7a24cc7b116!8m2!3d40.7648586!4d29.9674951!16s%2Fg%2F11vjr63gbv!19sChIJG27qmORPyxQRFrHHTKKnO0Q?authuser=0&hl=tr&rclk=1
Ulustech,"Erenler, Kevser Sk. No:12, 41030 İzmit/Kocaeli",0850 888 8587,info@ulustech.com,https://www.ulustech.com/,https://www.google.com/maps/place/Kocaeli+Web+Tasar%C4%B1m+Yaz%C4%B1l%C4%B1m+Hizmetleri/data=!4m7!3m6!1s0x14cb418f97012af1:0xfa746d58d759dbe1!8m2!3d40.7595287!4d29.875036!16s%2Fg%2F11s7szbkt9!19sChIJ8SoBl49ByxQR4dtZ11htdPo?authuser=0&hl=tr&rclk=1
Vm Teknoloji San. Ve Tic. Ltd. Şti,"Körfez, Kahya Kadın Cd No:6/2, 41060 İzmit/Kocaeli",(0262) 324 40 25,destek@vmteknoloji.com,http://www.vmteknoloji.com/,https://www.google.com/maps/place/MX+Dijital+Medya+Ajans%C4%B1/data=!4m7!3m6!1s0x14cb51b2fd93b4ad:0x67e5d4afaf23229f!8m2!3d40.7564062!4d29.9534156!16s%2Fg%2F11h5vdm8zw!19sChIJrbST_bJRyxQRnyIjr6_U5Wc?authuser=0&hl=tr&rclk=1
DMV BİLİŞİM,"Ömerağa, İstiklal Sk Aydınlar Apt No:8 D:10, 41300 İzmit/Kocaeli",0530 956 44 41,info@dmv.com.tr,https://www.dmv.com.tr/,https://www.google.com/maps/place/BELSA+PLAZA+Anatolia+Bilgisayar+Sat%C4%B1%C5%9F+ve+Servis+Hizmetleri/data=!4m7!3m6!1s0x14cb45f3163188a3:0x70c2c9f81757b0e1!8m2!3d40.7649696!4d29.9292946!16s%2Fg%2F1hc3nt0d3!19sChIJo4gxFvNFyxQR4bBXF_jJwnA?authuser=0&hl=tr&rclk=1
Kocaeli Kaya Grup,"Körfez, Ankara Yolu Cad No:24, 41001 İzmit/Kocaeli",(0262) 335 38 71,"info@kocaelikaya.com.tr, ik@kocaelikaya.com.tr",https://kocaelikaya.com.tr/,https://www.google.com/maps/place/DMV+B%C4%B0L%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cab9e0f053478d:0x1dfabd542426c789!8m2!3d40.7635635!4d29.9276086!16s%2Fg%2F11vq2b2662!19sChIJjUdT8OC5yhQRiccmJFS9-h0?authuser=0&hl=tr&rclk=1
EcuMasters KOCAELİ Lisanslı Chip Tuning,"Sanayi, Sarı Limon Sokak No:11, 41100 İzmit/Kocaeli",0553 972 55 80,swiper@7.3.1,https://ecumasters.com.tr/,https://www.google.com/maps/place/Bytek+Teknoloji/data=!4m7!3m6!1s0x14cb4f81aaaaaab7:0x50fd580c9f47fc77!8m2!3d40.7642431!4d29.9297247!16s%2Fg%2F11b77pvrw9!19sChIJt6qqqoFPyxQRd_xHnwxY_VA?authuser=0&hl=tr&rclk=1
9 Piksel Web Tasarım,"Kadıköy, Turan Güneş Cd. No:156, 41050 İzmit/Kocaeli",0538 245 70 90,info@9piksel.com,http://www.9piksel.com/,https://www.google.com/maps/place/Aerotek+Bili%C5%9Fim+Sanayi+ve+Ticaret+A%C5%9E./data=!4m7!3m6!1s0x14cb455c20369729:0x972f52cf017d695f!8m2!3d40.7536543!4d29.9551912!16s%2Fg%2F11b6hv_sq7!19sChIJKZc2IFxFyxQRX2l9Ac9SL5c?authuser=0&hl=tr&rclk=1
PullWeb - Kurumsalio Web Tasarım & Grafik Tasarım Hizmetleri,"Ic Kapi, Sanayi, Uzak Sk. NO :9, 41300 İzmit/Kocaeli",0850 309 5776,proje@pullweb.co,http://pullweb.co/,https://www.google.com/maps/place/FourByte+Yaz%C4%B1l%C4%B1m+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/data=!4m7!3m6!1s0x6e073fcb4c8b3999:0x56249deb818f827b!8m2!3d39.0863079!4d35.1293295!16s%2Fg%2F11wx_0y03z!19sChIJmTmLTMs_B24Re4KPgeudJFY?authuser=0&hl=tr&rclk=1
All Bilişim - Dijital Pazarlama Ajansı | E-Ticaret Çözümleri,"Karabaş, Köseoğlu Sk. No:3 D:5, 41040 İzmit/Kocaeli",,merhaba@allbilisim.com,https://allbilisim.com/,https://www.google.com/maps/place/%C3%87a%C4%9Fr%C4%B1+Mehmet+Turan/data=!4m7!3m6!1s0x14cb44ee7cba0dbf:0x1d986fe3da3835c0!8m2!3d40.7654408!4d29.9408089!16s%2Fg%2F11c1xj75g9!19sChIJvw26fO5EyxQRwDU42uNvmB0?authuser=0&hl=tr&rclk=1
İzmit Bilgisayar,"M. Alipaşa, Sabri Aksoy Sk. No:6/A, 41050 İzmit/Kocaeli",0507 375 92 85,bilgi@izmitbilgisayar.com,https://izmitbilgisayar.com/,https://www.google.com/maps/place/All+Bili%C5%9Fim+-+Dijital+Pazarlama+Ajans%C4%B1+%7C+E-Ticaret+%C3%87%C3%B6z%C3%BCmleri/data=!4m7!3m6!1s0x14cb455158edb733:0x37c30f3fe8d77451!8m2!3d40.7639043!4d29.9339652!16s%2Fg%2F11vswh5wg0!19sChIJM7ftWFFFyxQRUXTX6D8Pwzc?authuser=0&hl=tr&rclk=1
İlgi Bilişim Hizmetleri San. ve Tic. A.Ş.,"Kozluk Mah. D100, İstanbul Karayolu No:44 D:7, 41200 İzmit/Kocaeli",(0262) 325 85 25,iletisim@ilgibilisim.com,http://www.ilgibilisim.com/,https://www.google.com/maps/place/Korbil+%C4%B0nternet+ve+Yaz%C4%B1l%C4%B1m+Hizmetleri/data=!4m7!3m6!1s0x14cb4581fbacd857:0xc4b299cd10587365!8m2!3d40.7619918!4d29.9272498!16s%2Fg%2F11bbsy6l23!19sChIJV9is-4FFyxQRZXNYEM2ZssQ?authuser=0&hl=tr&rclk=1
Help Bilişim,"Çarşı Yapı Sitesi, Sanayi, Kozalı Cd. A13 Blok, 41040 İzmit/Kocaeli",(0262) 331 82 52,ajax-loader@2x.gif,https://www.premierturk.com/,https://www.google.com/maps/place/%C4%B0lgi+Bili%C5%9Fim+Hizmetleri+San.+ve+Tic.+A.%C5%9E./data=!4m7!3m6!1s0x14cb445f937c612b:0xc7d4320d3e63ad58!8m2!3d40.7658303!4d29.9106389!16s%2Fg%2F119t6_hly!19sChIJK2F8k19EyxQRWK1jPg0y1Mc?authuser=0&hl=tr&rclk=1
PREMIERTURK BİLGİ TEKNOLOJİLERİ A.S.,"Çarşı Yapı Sitesi, Sanayi, Kozalı Cd. A13 Blok, 41040 İzmit/Kocaeli",(0262) 331 82 52,ajax-loader@2x.gif,https://www.premierturk.com/,https://www.google.com/maps/place/Help+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb457ff0a1adf9:0x390a9f6efc33c959!8m2!3d40.7654035!4d29.9282432!16s%2Fg%2F1hc11ynm9!19sChIJ-a2h8H9FyxQRWckz_G6fCjk?authuser=0&hl=tr&rclk=1
Prodos Bilgisayar,"Abdurrahman Yüksel cad. Ömerağa mah. Belsa Plaza iş hanı kat 2 no:67, D:73, 41300 İzmit/Kocaeli",(0262) 331 41 11,"bilgi@prodos.com.tr, destek@prodos.com.tr",http://www.prodos.com.tr/,https://www.google.com/maps/place/Abelsis/data=!4m7!3m6!1s0x14cb4fe65eaf4ea1:0x7ed89833da3ab2ae!8m2!3d40.7707963!4d29.9650438!16s%2Fg%2F11t7hdtjzp!19sChIJoU6vXuZPyxQRrrI62jOY2H4?authuser=0&hl=tr&rclk=1
Erp Global Bilişim ve Danışmanlık Ltd. Şti,"Kemalpaşa Mah. Hürriyet Cad Gakko Kervansaray İş Hanı, Kat:5 No:67, 41100 İzmit/Kocaeli",0533 217 36 37,info@erpyonetim.com,https://www.erpyonetim.com/,https://www.google.com/maps/place/Vatan+Bilgisayar+%C3%96z%C3%BCer+AVM/data=!4m7!3m6!1s0x14cb4ff6b2aa1c3b:0x9b5189aa95bab0cd!8m2!3d40.7618657!4d29.9588327!16s%2Fg%2F11f4_k96ym!19sChIJOxyqsvZPyxQRzbC6laqJUZs?authuser=0&hl=tr&rclk=1
Nicomedia Yazılım - Web Tasarım,"Yeni Gölcük Yolu. Sanayi Mevkii No:35/1, 41000 İzmit/Kocaeli",0555 590 27 64,hello@dream-theme.com,https://www.nicomediayazilim.com/,https://www.google.com/maps/place/Erdi+Yaz%C4%B1l%C4%B1m+Reklam+Bas%C4%B1n+Yay%C4%B1n+Ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/data=!4m7!3m6!1s0x14cb4ff16016bc4b:0xf100f1a2744ef380!8m2!3d40.7635704!4d29.956637!16s%2Fg%2F11q2ykdwmy!19sChIJS7wWYPFPyxQRgPNOdKLxAPE?authuser=0&hl=tr&rclk=1
"Menulux POS Sistemleri İzmit - Cafe Restoran Adisyon Programı, Restoran POS Sistemi","Menulux Plaza, Körfez, Vali Eşref Cd No:1, 41040 İzmit/Kocaeli",0850 346 6586,info@menulux.com,https://www.menulux.com/,https://www.google.com/maps/place/Ares+Bilgisayar+%26+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb45d018b5981f:0x24c9046eff643e55!8m2!3d40.764888!4d29.9293696!16s%2Fg%2F11ft_drrl7!19sChIJH5i1GNBFyxQRVT5k_24EySQ?authuser=0&hl=tr&rclk=1
"NoteFix l Bilgisayar, Cep Telefonu ve Tablet Tamir Servisi","Ömerağa Mah. Alemdar Cad. Soydan İş Merkezi No:34/73, 41300 İzmit/Kocaeli",0555 448 72 12,info@notefix.com.tr,https://www.notefix.com.tr/,https://www.google.com/maps/place/Kocaeli+Design/data=!4m7!3m6!1s0x14cb4febf8ae29b7:0x25e08073feed2bb8!8m2!3d40.7718154!4d29.9563243!16s%2Fg%2F1td8p11l!19sChIJtymu-OtPyxQRuCvt_nOA4CU?authuser=0&hl=tr&rclk=1
Kentim Bilişim A.Ş.,"Mehmet Ali Paşa Mahallesi, Erkan Sk. No:17, 41050 İzmit/Kocaeli",(0262) 400 00 01,info@kentimbilisim.tr,https://kentimbilisim.tr/,https://www.google.com/maps/place/Maa%C5%9F+Haberleri+Son+Dakika/data=!4m7!3m6!1s0x14cb4f8ecc57d3e1:0x7b65607f82f41ba2!8m2!3d40.7665057!4d29.943191!16s%2Fg%2F11vlbpbjqq!19sChIJ4dNXzI5PyxQRohv0gn9gZXs?authuser=0&hl=tr&rclk=1
SOYDAN BİLİŞİM - Salih SOYDAN,"Damlar Mahallesi Alacahan Sokak Ihlamur Konakları, B Blok, 41000 Başiskele/Kocaeli",0532 460 81 18,cid_411042407@23102007-1528.gif,http://www.soydanbilisim.com/,https://www.google.com/maps/place/Intelciv+Yaz%C4%B1l%C4%B1m+ve+%C4%B0n%C5%9Faat+Teknolojileri+Ltd.+%C5%9Eti./data=!4m7!3m6!1s0x14cb45e13ebed57f:0xf3199e3f2f9ccbbd!8m2!3d40.7644059!4d29.9282366!16s%2Fg%2F11lf7gp4j2!19sChIJf9W-PuFFyxQRvcucLz-eGfM?authuser=0&hl=tr&rclk=1
Destek Teknik Bilişim,"Karabaş, Şht. Musa Sk. No:33/b, 41900 İzmit/Kocaeli",0532 405 95 39,destek@destekteknik.com,https://www.destekteknik.com/,https://www.google.com/maps/place/Yerinde+Bilgisayar+Teknik+Servis/data=!4m7!3m6!1s0x14cb4f88ed2ad047:0x1a9645883160145a!8m2!3d40.7654408!4d29.9408089!16s%2Fg%2F11t80_t9l4!19sChIJR9Aq7YhPyxQRWhRgMYhFlho?authuser=0&hl=tr&rclk=1
Ziro,"Kemalpaşa, Cumhuriyet Cd. No:21/2, 41000 İzmit/Kocaeli",0850 305 4116,info@ziro.com.tr,https://ziro.com.tr/,https://www.google.com/maps/place/MG+Remaps+Chip+Tuning+Upgrade/data=!4m7!3m6!1s0x14cb455b4e379817:0x454406a4d34387e3!8m2!3d40.7486176!4d29.9490757!16s%2Fg%2F11c5b4161v!19sChIJF5g3TltFyxQR44dD06QGREU?authuser=0&hl=tr&rclk=1
Essente Bilişim,"Hacıhızır, Veli Baba Sk. No:27, 41300 İzmit/Kocaeli",(0262) 323 52 44,info@essentebilisim.com,http://essentebilisim.com/4-is-ortaklarimiz-EssenteBilisimKurumsal.aspx,https://www.google.com/maps/place/APEX+B%C4%B0L%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cb457d91ca255f:0xca07e4c9b07e236e!8m2!3d40.7632667!4d29.9355457!16s%2Fg%2F11d_dt97bs!19sChIJXyXKkX1FyxQRbiN-sMnkB8o?authuser=0&hl=tr&rclk=1
Yeni Nesil Bilişim ve Bilgisayar Sistemleri Web Tasarım Ltd. Şti.,"Mimar Sinan, Burç Sk. NO:34/B, 41780 Körfez/Kocaeli",0545 305 36 41,bilgi@yeninesilbilisim.com,http://www.yeninesilbilisim.com/,https://www.google.com/maps/place/%C4%B0ZM%C4%B0T+Bilgisayar+Al%C4%B1m/data=!4m7!3m6!1s0x14cb4f1e0625a577:0x382ae3dabd6277ce!8m2!3d40.7665565!4d29.9348182!16s%2Fg%2F11s9dm1z4m!19sChIJd6UlBh5PyxQRzndivdrjKjg?authuser=0&hl=tr&rclk=1
Gürsel Bilgisayar & Güvenlik Sistemleri İth. İhr. San Tic. Ltd. Şti,"Alemdar Cd. No:34 İç Kapı No:51, Ömerağa, 41300 İzmit/Kocaeli",(0262) 324 80 24,info@gurselbilgisayar.com,http://www.gurselbilgisayar.com/,https://www.google.com/maps/place/EMAY+B%C4%B0LG%C4%B0+%C4%B0%C5%9ELEM+M%C3%9CHEND%C4%B0SL%C4%B0K+VE+DANI%C5%9EMANLIK+SAN.T%C4%B0C.LTD.%C5%9ET%C4%B0./data=!4m7!3m6!1s0x14cb4fcf64892c13:0xbb915634197e54f1!8m2!3d40.7647704!4d29.9561887!16s%2Fg%2F11stvspx32!19sChIJEyyJZM9PyxQR8VR-GTRWkbs?authuser=0&hl=tr&rclk=1
